user_pseudo_id,session_id,session_start,session_end,session_duration_sec,event_count,event_types,platform,traffic_source,traffic_medium,device_category,operating_system,country,region
3138309.6783608197,1,2020-12-03T21:19:41.044070+00:00,2020-12-03T21:19:51.745723+00:00,10,5,"[""first_visit"", ""page_view"", ""view_promotion"", ""session_start"", ""user_engagement""]",WEB,(direct),(none),desktop,Web,Spain,Madrid
72557333.3533526001,1,2020-12-22T08:52:59.353085+00:00,2020-12-22T08:56:09.635731+00:00,190,8,"[""scroll"", ""session_start"", ""page_view"", ""view_item"", ""user_engagement"", ""first_visit""]",WEB,(direct),(none),mobile,iOS,Ukraine,Kyiv city
8510956.4563500275,1,2020-12-21T08:44:05.148225+00:00,2020-12-21T08:44:21.154510+00:00,16,9,"[""session_start"", ""first_visit"", ""view_item"", ""user_engagement"", ""select_item"", ""page_view"", ""add_to_cart""]",WEB,google,organic,desktop,Macintosh,Hungary,(not set)
2061077.5226560148,1,2021-01-30T04:56:02.311773+00:00,2021-01-30T04:56:10.600611+00:00,8,5,"[""user_engagement"", ""session_start"", ""first_visit"", ""page_view""]",WEB,google,organic,mobile,iOS,Kuwait,Hawalli Governorate
2702480.0009914262,1,2021-01-27T09:33:09.739414+00:00,2021-01-27T09:33:19.607090+00:00,9,6,"[""session_start"", ""user_engagement"", ""first_visit"", ""scroll"", ""page_view""]",WEB,(direct),(none),mobile,Web,Canada,Quebec
6935242.9977301393,1,2020-12-22T03:31:05.393929+00:00,2020-12-22T03:31:10.965051+00:00,5,4,"[""session_start"", ""user_engagement"", ""page_view"", ""first_visit""]",WEB,<Other>,referral,desktop,Web,Israel,South District
5354763.3738813241,1,2020-11-21T15:28:47.678016+00:00,2020-11-21T15:36:37.200689+00:00,469,30,"[""session_start"", ""first_visit"", ""user_engagement"", ""view_item"", ""page_view"", ""scroll"", ""view_promotion""]",WEB,shop.googlemerchandisestore.com,referral,desktop,<Other>,United States,Maine
68760672.4462818789,2,2020-12-13T23:29:08.242319+00:00,2020-12-13T23:29:08.242319+00:00,0,2,"[""session_start"", ""user_engagement""]",WEB,(data deleted),(data deleted),desktop,Web,Italy,Friuli-Venezia Giulia
84811328.5309420116,1,2020-12-18T01:35:03.772620+00:00,2020-12-18T01:35:20.684574+00:00,16,4,"[""scroll"", ""first_visit"", ""session_start"", ""page_view""]",WEB,<Other>,<Other>,desktop,Web,China,Shandong
88205727.5882619411,1,2020-12-20T15:09:02.548415+00:00,2020-12-20T15:09:02.548415+00:00,0,3,"[""user_engagement"", ""page_view"", ""view_promotion""]",WEB,<Other>,<Other>,desktop,Macintosh,Malaysia,Selangor
7945395.8197113765,5,2021-01-21T06:29:40.679367+00:00,2021-01-21T06:30:15.800907+00:00,35,9,"[""user_engagement"", ""session_start"", ""view_promotion"", ""page_view"", ""scroll""]",WEB,google,organic,desktop,Macintosh,United States,California
85170850.9171524477,2,2021-01-30T09:14:05.637897+00:00,2021-01-30T09:20:55.472479+00:00,409,12,"[""session_start"", ""view_promotion"", ""user_engagement"", ""page_view""]",WEB,(direct),(none),mobile,Android,United States,Colorado
8280875.9690313811,2,2021-01-10T04:18:23.764865+00:00,2021-01-10T04:18:38.133310+00:00,14,6,"[""user_engagement"", ""scroll"", ""page_view"", ""session_start"", ""view_promotion""]",WEB,(data deleted),(data deleted),mobile,Web,United States,Oregon
38997049.3043923941,1,2020-11-19T13:20:45.527929+00:00,2020-11-19T13:20:45.527929+00:00,0,3,"[""first_visit"", ""session_start"", ""page_view""]",WEB,shop.googlemerchandisestore.com,referral,desktop,Web,Taiwan,Kaohsiung City
48684552.8065204159,1,2021-01-10T00:35:08.512150+00:00,2021-01-10T00:35:14.451902+00:00,5,5,"[""first_visit"", ""user_engagement"", ""page_view"", ""session_start""]",WEB,google,organic,desktop,Web,France,Ile-de-France
49624655.9779935390,4,2020-12-03T06:46:31.966848+00:00,2020-12-03T06:46:31.966848+00:00,0,2,"[""user_engagement"", ""session_start""]",WEB,(data deleted),(data deleted),mobile,Web,India,Madhya Pradesh
3936551.2636342713,1,2020-12-16T15:36:21.488034+00:00,2020-12-16T15:36:31.518659+00:00,10,8,"[""session_start"", ""scroll"", ""page_view"", ""first_visit""]",WEB,<Other>,<Other>,desktop,Web,Netherlands,Limburg
6495156995.5567070179,1,2020-12-21T14:29:47.192196+00:00,2020-12-21T14:29:47.192196+00:00,0,3,"[""page_view"", ""session_start"", ""first_visit""]",WEB,(direct),(none),desktop,Web,United States,Illinois
3111764.3843860252,1,2021-01-13T15:12:52.447966+00:00,2021-01-13T15:12:58.228896+00:00,5,5,"[""user_engagement"", ""first_visit"", ""page_view"", ""session_start""]",WEB,<Other>,referral,desktop,<Other>,Indonesia,North Sumatra
9615824.2949621306,1,2020-11-23T05:18:07.329343+00:00,2020-11-23T05:18:53.197723+00:00,45,4,"[""page_view"", ""user_engagement"", ""first_visit"", ""session_start""]",WEB,<Other>,<Other>,desktop,Web,United States,Oregon
4875752.1301103993,1,2020-11-23T17:20:22.503223+00:00,2020-11-23T17:25:32.318694+00:00,309,18,"[""view_item"", ""session_start"", ""scroll"", ""page_view"", ""first_visit"", ""user_engagement""]",WEB,shop.googlemerchandisestore.com,referral,mobile,iOS,United States,Michigan
63678287.9234809720,1,2020-11-07T04:36:38.092932+00:00,2020-11-07T04:36:43.024670+00:00,4,4,"[""first_visit"", ""page_view"", ""user_engagement"", ""session_start""]",WEB,(direct),(none),desktop,Web,United States,New York
41742790.0596940636,4,2021-01-12T11:53:23.961367+00:00,2021-01-12T11:53:28.998178+00:00,5,4,"[""view_promotion"", ""session_start"", ""page_view""]",WEB,(direct),(none),desktop,Windows,France,Ile-de-France
35012320.6819520299,1,2020-12-15T20:53:38.115134+00:00,2020-12-15T20:53:42.329646+00:00,4,4,"[""first_visit"", ""user_engagement"", ""page_view"", ""session_start""]",WEB,google,organic,mobile,Web,(not set),(not set)
70723288.8139190660,1,2020-11-03T01:36:45.811689+00:00,2020-11-03T01:38:14.755513+00:00,88,12,"[""session_start"", ""user_engagement"", ""first_visit"", ""scroll"", ""view_promotion"", ""page_view""]",WEB,(direct),(none),mobile,Android,India,Madhya Pradesh
5505608.2470220598,1,2020-12-23T07:43:40.658153+00:00,2020-12-23T07:43:40.658153+00:00,0,3,"[""first_visit"", ""session_start"", ""page_view""]",WEB,google,organic,mobile,iOS,India,Tamil Nadu
45356569.6423125571,1,2020-12-01T03:35:53.954999+00:00,2020-12-01T03:37:34.048818+00:00,100,15,"[""add_to_cart"", ""session_start"", ""page_view"", ""view_search_results"", ""view_item"", ""first_visit"", ""user_engagement""]",WEB,google,organic,mobile,Web,Singapore,(not set)
60819037.4652170132,1,2020-11-26T04:00:17.831514+00:00,2020-11-26T04:00:56.911593+00:00,39,5,"[""page_view"", ""session_start"", ""first_visit"", ""scroll"", ""user_engagement""]",WEB,google,organic,desktop,Web,United States,North Dakota
6527827.5396147362,1,2020-11-13T02:52:28.460605+00:00,2020-11-13T02:54:26.154634+00:00,117,12,"[""first_visit"", ""view_promotion"", ""scroll"", ""user_engagement"", ""page_view"", ""session_start""]",WEB,google,organic,desktop,Macintosh,India,Telangana
6458970907.8471489621,1,2021-01-18T11:37:58.609518+00:00,2021-01-18T11:38:02.590011+00:00,3,5,"[""first_visit"", ""session_start"", ""page_view"", ""user_engagement""]",WEB,shop.googlemerchandisestore.com,referral,desktop,Web,Canada,Ontario
56420768.6036947271,1,2021-01-10T08:00:41.612940+00:00,2021-01-10T08:13:03.257025+00:00,741,76,"[""view_promotion"", ""add_to_cart"", ""view_item"", ""scroll"", ""session_start"", ""purchase"", ""begin_checkout"", ""page_view"", ""user_engagement"", ""first_visit"", ""add_shipping_info"", ""add_payment_info"", ""select_item""]",WEB,(direct),(none),desktop,Macintosh,Taiwan,Taoyuan City
6605473.9731770027,1,2021-01-12T12:36:35.481326+00:00,2021-01-12T12:36:36.268865+00:00,0,4,"[""session_start"", ""first_visit"", ""page_view""]",WEB,(direct),(none),desktop,Web,United States,California
5902393.3619816635,2,2021-01-21T20:19:32.780831+00:00,2021-01-21T20:19:32.780831+00:00,0,2,"[""user_engagement"", ""session_start""]",WEB,(direct),(none),desktop,Macintosh,Peru,(not set)
67057645.6015316850,1,2021-01-03T09:44:58.705490+00:00,2021-01-03T09:45:03.726641+00:00,5,5,"[""session_start"", ""view_promotion"", ""page_view"", ""first_visit""]",WEB,google,organic,mobile,iOS,United States,Illinois
6982576.8654487203,1,2021-01-12T10:11:25.290742+00:00,2021-01-12T10:11:43.120448+00:00,17,6,"[""session_start"", ""user_engagement"", ""view_promotion"", ""first_visit"", ""page_view""]",WEB,(direct),(none),desktop,Web,United States,Massachusetts
2675612288.1191694437,1,2021-01-13T02:01:59.527666+00:00,2021-01-13T02:22:31.031614+00:00,1231,50,"[""select_item"", ""session_start"", ""page_view"", ""view_promotion"", ""view_item"", ""user_engagement"", ""scroll"", ""first_visit""]",WEB,<Other>,<Other>,desktop,Windows,United States,Pennsylvania
58605007.1164989221,1,2021-01-25T16:45:03.241630+00:00,2021-01-25T16:45:07.904084+00:00,4,5,"[""session_start"", ""first_visit"", ""page_view"", ""user_engagement""]",WEB,<Other>,<Other>,desktop,Web,United States,Washington
7831516.9928358178,1,2020-12-28T16:19:24.619942+00:00,2020-12-28T16:19:33.937958+00:00,9,7,"[""scroll"", ""session_start"", ""view_promotion"", ""page_view"", ""user_engagement"", ""first_visit""]",WEB,(direct),(none),desktop,Windows,Poland,Masovian Voivodeship
61406361.6146551157,2,2020-11-20T14:41:31.833576+00:00,2020-11-20T14:41:31.833576+00:00,0,2,"[""session_start"", ""user_engagement""]",WEB,(direct),(none),desktop,Web,United States,New Jersey
89925743.9395965512,1,2020-12-10T22:05:40.273804+00:00,2020-12-10T22:05:43.312488+00:00,3,4,"[""page_view"", ""session_start"", ""user_engagement"", ""first_visit""]",WEB,<Other>,referral,mobile,Web,Singapore,(not set)
75266376.5864222843,2,2020-12-02T05:43:22.587505+00:00,2020-12-02T05:43:24.428978+00:00,1,4,"[""session_start"", ""user_engagement"", ""page_view"", ""scroll""]",WEB,google,organic,mobile,Web,United Kingdom,England
85769722.4859857713,1,2020-12-16T04:53:55.776903+00:00,2020-12-16T04:54:04.447491+00:00,8,4,"[""user_engagement"", ""session_start"", ""page_view"", ""first_visit""]",WEB,google,organic,mobile,Android,Saudi Arabia,Riyadh Province
4836267.6803224114,1,2020-12-12T13:04:15.134519+00:00,2020-12-12T13:06:07.729402+00:00,112,13,"[""scroll"", ""session_start"", ""user_engagement"", ""first_visit"", ""view_promotion"", ""view_search_results"", ""page_view""]",WEB,<Other>,<Other>,desktop,Web,Canada,New Brunswick
8312187.5297394857,4,2021-01-14T02:29:25.065352+00:00,2021-01-14T02:31:41.276489+00:00,136,19,"[""page_view"", ""scroll"", ""session_start"", ""user_engagement""]",WEB,shop.googlemerchandisestore.com,referral,desktop,Windows,Belarus,Minsk Region
17808959.1161703751,1,2020-11-02T18:17:29.283097+00:00,2020-11-02T18:42:33.920410+00:00,1504,6,"[""session_start"", ""page_view"", ""view_promotion"", ""first_visit""]",WEB,<Other>,referral,desktop,Windows,United States,California
72570282.3030113750,2,2020-11-16T09:45:35.907361+00:00,2020-11-16T09:48:42.217371+00:00,186,10,"[""page_view"", ""scroll"", ""user_engagement"", ""session_start"", ""click""]",WEB,(data deleted),(data deleted),desktop,Web,United States,Oklahoma
1843444.9705092581,1,2020-11-26T16:40:51.831437+00:00,2020-11-26T16:40:56.359126+00:00,4,4,"[""first_visit"", ""page_view"", ""session_start"", ""user_engagement""]",WEB,google,organic,desktop,Web,United States,Virginia
46124782.0207872698,1,2020-12-13T06:16:59.114109+00:00,2020-12-13T06:39:14.890674+00:00,1335,6,"[""user_engagement"", ""session_start"", ""view_promotion"", ""scroll"", ""first_visit"", ""page_view""]",WEB,<Other>,<Other>,tablet,Windows,Spain,Valencian Community
17427115.1894498923,4,2020-12-08T09:10:00.082707+00:00,2020-12-08T09:10:00.082707+00:00,0,2,"[""user_engagement"", ""session_start""]",WEB,(direct),(none),mobile,Android,United States,California
3529371.0865316509,1,2020-12-07T20:13:53.341573+00:00,2020-12-07T20:14:16.774984+00:00,23,7,"[""view_promotion"", ""user_engagement"", ""page_view"", ""session_start"", ""first_visit""]",WEB,shop.googlemerchandisestore.com,referral,mobile,Android,United States,Colorado
38708869.5582113362,1,2021-01-16T05:21:14.002422+00:00,2021-01-16T05:22:00.787039+00:00,46,10,"[""first_visit"", ""user_engagement"", ""page_view"", ""session_start""]",WEB,google,cpc,desktop,Windows,United States,California
3973652.6229310616,1,2020-12-29T18:01:17.547192+00:00,2020-12-29T18:13:44.246821+00:00,746,8,"[""first_visit"", ""session_start"", ""scroll"", ""user_engagement"", ""page_view""]",WEB,(direct),(none),desktop,Windows,India,West Bengal
2091861.8197753287,2,2020-11-28T06:47:17.599212+00:00,2020-11-28T06:47:25.012537+00:00,7,3,"[""session_start"", ""user_engagement"", ""page_view""]",WEB,<Other>,referral,desktop,<Other>,United States,Arizona
41866486.2879225757,1,2020-11-18T06:18:52.166192+00:00,2020-11-18T06:18:52.166192+00:00,0,2,"[""session_start"", ""user_engagement""]",WEB,(direct),(none),desktop,<Other>,Japan,Kanagawa
3333423.8325347638,1,2020-12-08T22:55:36.935149+00:00,2020-12-08T22:55:42.711465+00:00,5,4,"[""view_promotion"", ""session_start"", ""first_visit"", ""page_view""]",WEB,google,organic,mobile,Android,Vietnam,Ho Chi Minh City
2964264.1652462823,1,2020-12-02T04:03:14.130208+00:00,2020-12-02T04:08:28.380163+00:00,314,13,"[""scroll"", ""session_start"", ""view_promotion"", ""user_engagement"", ""page_view"", ""first_visit"", ""view_item"", ""select_item""]",WEB,google,organic,desktop,Web,United States,Michigan
2649339.2824698126,2,2021-01-13T09:05:32.410760+00:00,2021-01-13T09:05:32.410760+00:00,0,2,"[""user_engagement"", ""session_start""]",WEB,shop.googlemerchandisestore.com,referral,mobile,Android,Germany,Bavaria
8198721.7212095590,1,2020-11-14T17:34:05.274896+00:00,2020-11-14T17:44:15.799529+00:00,610,35,"[""add_payment_info"", ""view_promotion"", ""scroll"", ""session_start"", ""begin_checkout"", ""view_item"", ""first_visit"", ""user_engagement"", ""add_shipping_info"", ""page_view""]",WEB,<Other>,<Other>,mobile,Web,United States,California
6657607.0273195801,3,2020-11-17T17:48:52.833317+00:00,2020-11-17T17:53:16.514251+00:00,263,5,"[""session_start"", ""view_promotion"", ""scroll"", ""user_engagement"", ""page_view""]",WEB,google,organic,desktop,Web,India,Maharashtra
82980436.2199466138,1,2020-11-13T11:59:38.735988+00:00,2020-11-13T11:59:50.009898+00:00,11,5,"[""scroll"", ""view_promotion"", ""session_start"", ""page_view"", ""first_visit""]",WEB,google,organic,desktop,Web,United States,California
2746140.3343868323,1,2020-12-23T10:32:48.337285+00:00,2020-12-23T10:33:03.197176+00:00,14,4,"[""user_engagement"", ""page_view"", ""session_start"", ""first_visit""]",WEB,<Other>,<Other>,mobile,Web,United Kingdom,England
76816553.5249279037,1,2020-12-03T13:01:58.889693+00:00,2020-12-03T13:02:03.687513+00:00,4,4,"[""first_visit"", ""scroll"", ""page_view"", ""session_start""]",WEB,shop.googlemerchandisestore.com,referral,mobile,Web,United States,New York
3819550.1854456165,1,2020-12-30T10:53:31.197795+00:00,2020-12-30T10:53:31.197795+00:00,0,3,"[""first_visit"", ""session_start"", ""page_view""]",WEB,google,organic,desktop,<Other>,Spain,Madrid
59230566.6561239173,1,2020-12-10T23:42:42.835528+00:00,2020-12-10T23:54:58.488024+00:00,735,9,"[""session_start"", ""view_promotion"", ""first_visit"", ""page_view"", ""user_engagement"", ""scroll""]",WEB,<Other>,referral,mobile,Web,France,Ile-de-France
4632580.9108853231,1,2020-11-17T23:22:52.005867+00:00,2020-11-17T23:23:13.258318+00:00,21,6,"[""page_view"", ""session_start"", ""user_engagement"", ""scroll"", ""view_promotion"", ""first_visit""]",WEB,google,cpc,mobile,Web,Poland,(not set)
5107200.8391229104,4,2020-12-27T00:53:18.482298+00:00,2020-12-27T01:16:32.756493+00:00,1394,4,"[""view_promotion"", ""page_view"", ""session_start"", ""user_engagement""]",WEB,(data deleted),(data deleted),desktop,Web,United States,North Carolina
1836763.7054483328,1,2020-12-04T12:33:27.583152+00:00,2020-12-04T12:33:36.689126+00:00,9,5,"[""page_view"", ""user_engagement"", ""first_visit"", ""scroll"", ""session_start""]",WEB,<Other>,<Other>,desktop,Windows,United States,Pennsylvania
83874896.6296100116,1,2020-12-05T23:20:30.509509+00:00,2020-12-05T23:20:30.509509+00:00,0,3,"[""first_visit"", ""session_start"", ""page_view""]",WEB,(direct),(none),tablet,iOS,India,Madhya Pradesh
21539893.1778706519,1,2020-11-04T11:21:19.919756+00:00,2020-11-04T11:26:10.363373+00:00,290,32,"[""first_visit"", ""user_engagement"", ""scroll"", ""session_start"", ""view_promotion"", ""page_view""]",WEB,google,organic,mobile,Android,United States,Massachusetts
84288512.1820202145,4,2020-12-08T16:41:04.822186+00:00,2020-12-08T16:42:45.728361+00:00,100,7,"[""session_start"", ""page_view"", ""user_engagement"", ""view_item"", ""scroll""]",WEB,google,organic,mobile,Web,United States,Virginia
4075782.9431647709,1,2020-12-16T22:14:19.810756+00:00,2020-12-16T22:14:46.717816+00:00,26,6,"[""session_start"", ""user_engagement"", ""page_view"", ""view_search_results"", ""first_visit""]",WEB,google,cpc,mobile,iOS,Japan,Tokyo
27022490.0632621959,1,2021-01-23T00:02:20.555697+00:00,2021-01-23T00:04:19.419095+00:00,118,10,"[""session_start"", ""scroll"", ""first_visit"", ""page_view"", ""view_search_results"", ""user_engagement""]",WEB,(direct),(none),mobile,Web,United States,California
9120906.1577945242,1,2020-11-10T18:42:03.239906+00:00,2020-11-10T18:42:11.575884+00:00,8,5,"[""page_view"", ""scroll"", ""first_visit"", ""user_engagement"", ""session_start""]",WEB,(direct),(none),mobile,Web,Netherlands,North Holland
3628419.4816997781,1,2020-11-30T20:26:24.398483+00:00,2020-11-30T20:45:18.474190+00:00,1134,66,"[""session_start"", ""first_visit"", ""begin_checkout"", ""add_to_cart"", ""user_engagement"", ""page_view"", ""purchase"", ""add_shipping_info"", ""view_item"", ""scroll"", ""add_payment_info""]",WEB,google,organic,mobile,Web,United States,South Carolina
75277509.0829167381,1,2020-11-08T08:34:49.553727+00:00,2020-11-08T08:35:22.819847+00:00,33,7,"[""first_visit"", ""user_engagement"", ""session_start"", ""view_promotion"", ""page_view""]",WEB,google,organic,mobile,Web,United States,New York
41520711.7207038226,1,2020-12-14T18:53:45.233598+00:00,2020-12-14T18:54:31.795617+00:00,46,11,"[""view_promotion"", ""first_visit"", ""user_engagement"", ""page_view"", ""scroll"", ""session_start""]",WEB,<Other>,<Other>,tablet,iOS,Italy,Lombardy
78772645.2880774476,1,2020-11-27T21:32:42.209754+00:00,2020-11-27T21:33:09.638736+00:00,27,4,"[""first_visit"", ""user_engagement"", ""session_start"", ""page_view""]",WEB,google,organic,desktop,Web,India,Madhya Pradesh
1094811.0590729186,1,2020-12-04T14:13:46.223550+00:00,2020-12-04T14:13:46.223550+00:00,0,3,"[""page_view"", ""first_visit"", ""session_start""]",WEB,google,organic,tablet,iOS,United States,California
4783246.0178494009,1,2020-11-01T02:03:56.714543+00:00,2020-11-01T02:04:05.245063+00:00,8,4,"[""first_visit"", ""session_start"", ""page_view"", ""user_engagement""]",WEB,<Other>,referral,desktop,Web,United States,California
1497640.1702205805,2,2020-12-12T16:33:07.230006+00:00,2020-12-12T16:33:11.160907+00:00,3,4,"[""session_start"", ""page_view"", ""scroll"", ""user_engagement""]",WEB,(data deleted),(data deleted),desktop,Web,United States,Texas
35568105.5141466226,1,2020-12-05T09:11:03.470870+00:00,2020-12-05T09:11:10.128213+00:00,6,5,"[""user_engagement"", ""scroll"", ""page_view"", ""first_visit"", ""session_start""]",WEB,google,organic,mobile,iOS,United States,Florida
83585355.6361771184,1,2021-01-29T23:51:15.803449+00:00,2021-01-29T23:51:41.326485+00:00,25,7,"[""click"", ""page_view"", ""session_start"", ""first_visit"", ""scroll"", ""view_item""]",WEB,<Other>,<Other>,mobile,Android,France,Centre-Val de Loire
11702527.9533040877,1,2020-12-08T23:03:31.459558+00:00,2020-12-08T23:04:08.629046+00:00,37,9,"[""page_view"", ""first_visit"", ""user_engagement"", ""session_start"", ""scroll""]",WEB,google,organic,mobile,Web,Ireland,(not set)
57540976.4944896588,1,2020-12-11T03:42:27.154268+00:00,2020-12-11T03:42:27.154268+00:00,0,3,"[""first_visit"", ""session_start"", ""page_view""]",WEB,<Other>,<Other>,desktop,Web,South Africa,Gauteng
1218011.3904991515,1,2021-01-17T03:27:23.342973+00:00,2021-01-17T03:27:23.342973+00:00,0,2,"[""user_engagement"", ""session_start""]",WEB,(direct),(none),desktop,Web,(not set),(not set)
4996320.5413815252,2,2020-11-11T19:44:20.615882+00:00,2020-11-11T19:44:27.716974+00:00,7,3,"[""scroll"", ""page_view"", ""session_start""]",WEB,(data deleted),(data deleted),desktop,Web,United States,Washington
6211075.6298965580,3,2021-01-29T13:27:29.118264+00:00,2021-01-29T13:29:35.785374+00:00,126,22,"[""view_promotion"", ""page_view"", ""scroll"", ""user_engagement"", ""session_start"", ""view_item""]",WEB,<Other>,<Other>,mobile,Web,United States,California
4670789.3912884010,1,2020-11-13T00:02:34.612863+00:00,2020-11-13T00:02:40.072001+00:00,5,5,"[""first_visit"", ""session_start"", ""page_view"", ""user_engagement"", ""scroll""]",WEB,(direct),(none),mobile,iOS,Canada,British Columbia
38685443.1202386823,1,2020-12-06T03:35:16.301729+00:00,2020-12-06T03:35:26.228789+00:00,9,5,"[""first_visit"", ""page_view"", ""scroll"", ""session_start"", ""user_engagement""]",WEB,google,organic,desktop,Windows,United States,California
75002835.5952325354,1,2020-11-29T14:15:01.985925+00:00,2020-11-29T14:15:01.985925+00:00,0,3,"[""session_start"", ""page_view"", ""first_visit""]",WEB,<Other>,<Other>,mobile,Web,United States,Georgia
76574598.0934533021,1,2021-01-07T03:07:08.601687+00:00,2021-01-07T03:07:17.905618+00:00,9,6,"[""page_view"", ""scroll"", ""session_start"", ""user_engagement"", ""first_visit""]",WEB,<Other>,<Other>,mobile,iOS,United States,Oklahoma
9278446256.4175293572,4,2020-12-14T08:51:00.057484+00:00,2020-12-14T08:52:49.490634+00:00,109,9,"[""session_start"", ""page_view"", ""view_promotion"", ""user_engagement"", ""scroll""]",WEB,shop.googlemerchandisestore.com,referral,desktop,Windows,United States,California
60071686.4721496038,1,2020-12-13T03:01:19.442559+00:00,2020-12-13T03:01:22.387920+00:00,2,4,"[""user_engagement"", ""first_visit"", ""session_start"", ""page_view""]",WEB,google,organic,mobile,Android,Colombia,Antioquia
74786321.1520954612,1,2020-12-26T19:02:57.602115+00:00,2020-12-26T19:03:23.797184+00:00,26,5,"[""user_engagement"", ""first_visit"", ""session_start"", ""page_view""]",WEB,(direct),(none),desktop,<Other>,India,Karnataka
8458981705.1508839947,1,2021-01-20T12:38:53.882590+00:00,2021-01-20T12:38:56.860558+00:00,2,5,"[""first_visit"", ""user_engagement"", ""page_view"", ""session_start""]",WEB,(direct),(none),mobile,Web,United States,Alaska
